Group,AdjustedRate,Gap_vs_Priv,threshold
Latina Women,0.6769722814498934,0.2769027645920554,0.215
Other,0.47870956551903565,0.07864004866119761,0.215
White Women,0.40006951685783804,0.0,0.215
Asian Women,0.5472194800921356,0.1499306375478186,0.22
Black Women,0.5580958346382712,0.16080699209395416,0.22
Latina Women,0.6702203269367448,0.2729314843924278,0.22
Other,0.474807041887087,0.07751819934276999,0.22
White Women,0.397288842544317,0.0,0.22
Asian Women,0.5373478117801909,0.14405618856156033,0.225
Black Women,0.5461948011274663,0.15290317790883579,0.225
Latina Women,0.6613361762615494,0.26804455304291885,0.225
Other,0.4682919954904171,0.07500037227178658,0.225
White Women,0.39329162321863054,0.0,0.225
Asian Women,0.5317538664034221,0.14159050178750276,0.23
Black Women,0.5399310992796743,0.14976773466375493,0.23
Latina Women,0.6577825159914712,0.2676191513755518,0.23
Other,0.4642485473939814,0.07408518277806203,0.23
White Women,0.3901633646159194,0.0,0.23
Asian Women,0.5225403093122738,0.13672174831123107,0.235
Black Women,0.5336673974318823,0.14784883643083957,0.235
Latina Women,0.6496090973702914,0.26379053636924865,0.235
Other,0.4584056022894805,0.07258704128843779,0.235
White Women,0.3858185610010427,0.0,0.235
Asian Women,0.5176044751563014,0.13578313348094512,0.24
Black Women,0.5270905104917006,0.14526916881634439,0.24
Latina Women,0.6442786069651741,0.2624572652898179,0.24
Other,0.45484996964703844,0.07302862797168219,0.24
White Women,0.38182134167535625,0.0,0.24
Asian Women,0.506087528792366,0.12704686143053073,0.245
Black Women,0.5198872533667397,0.14084658600490446,0.245
Latina Women,0.6353944562899787,0.2563537889281435,0.245
Other,0.44924551209782326,0.07020484473598804,0.245
White Women,0.3790406673618352,0.0,0.245
Asian Women,0.500164527805199,0.12338315832309965,0.25
Black Women,0.5145631067961165,0.1377817373140171,0.25
Latina Women,0.6289978678038379,0.25221649832173854,0.25
Other,0.44585248460671234,0.06907111512461295,0.25
White Women,0.3767813694820994,0.0,0.25
Asian Women,0.49424152681803224,0.12041462379404894,0.255
Black Women,0.5076730347635453,0.133846131739562,0.255
Latina Women,0.6194029850746269,0.24557608205064357,0.255
Other,0.44042147255225045,0.06659456952826714,0.255
White Women,0.3738269030239833,0.0,0.255
Asian Women,0.4876604146100691,0.11696177018879694,0.26
Black Women,0.5010961478233636,0.1303975034020915,0.26
Latina Women,0.6133617626154939,0.24266311819422176,0.26
Other,0.43676827681900965,0.0660696323977375,0.26
White Women,0.37069864442127215,0.0,0.26
Asian Women,0.4794340243501152,0.11151605424236405,0.265
Black Women,0.49076103977450675,0.12284306966675562,0.265
Latina Women,0.6048329779673063,0.23691500785955516,0.265
Other,0.431369785794814,0.06345181568706287,0.265
White Women,0.3679179701077511,0.0,0.265
Asian Women,0.47318196775255017,0.10700191909074969,0.27
Black Women,0.4854368932038835,0.11925684454208302,0.27
Latina Women,0.6002132196162047,0.23403317095440418,0.27
Other,0.42782499349579395,0.061644944833993465,0.27
White Women,0.3661800486618005,0.0,0.27
Asian Women,0.4642974662717999,0.10002913120054513,0.275
Black Women,0.4751017851550266,0.11083345008377182,0.275
Latina Women,0.5909737029140014,0.22670536784274664,0.275
Other,0.4226324689966178,0.05836413392536305,0.275
White Women,0.3642683350712548,0.0,0.275
Asian Women,0.45969068772622573,0.09750785839011172,0.28
Black Women,0.47103037895396177,0.10884754961784776,0.28
Latina Women,0.5849324804548686,0.22274965111875455,0.28
Other,0.419120197727864,0.05693736839175001,0.28
White Women,0.362182829336114,0.0,0.28
Asian Women,0.45113524185587367,0.09294963184544613,0.285
Black Women,0.46695897275289694,0.1087733627424694,0.285
Latina Women,0.576048329779673,0.21786271976924548,0.285
Other,0.4140360766629087,0.05585046665248117,0.285
White Women,0.35818561001042754,0.0,0.285
Asian Women,0.44554129647910495,0.08909360791462806,0.29
Black Women,0.4613216410898841,0.10487395252540721,0.29
Latina Women,0.5707178393745558,0.21427015081007889,0.29
Other,0.4105780071112653,0.0541303185467884,0.29
White Women,0.3564476885644769,0.0,0.29
Asian Women,0.4359986837775584,0.08424338311714824,0.295
Black Women,0.45411838396492327,0.1023630833045131,0.295
Latina Women,0.5611229566453447,0.20936765598493456,0.295
Other,0.40554808776342033,0.053792787103010165,0.295
White Women,0.35175530066041016,0.0,0.295
Asian Women,0.43139190523198423,0.08067935743914445,0.3
Black Women,0.44848105230191043,0.09776850450907065,0.3
Latina Women,0.5543710021321961,0.20365845433935637,0.3
